Adresse,Latitude,Longitude,Amiante,AverageConstructionYearNearby
990 Rue Notre-Dame W,45.49566,-73.562819,Calorifuge,1932.0910314504913
2775 Avenue Willowdale,45.548471,-73.723366,Calorifugeage,1938.9128648837616
2500 Chem. De Polytechnique,45.502752,-73.612414,Calorifugeage isolant (ignifugeage) murs (joint de gypse) sol,1932.5756991743501
6000 Avenue Fielding,45.476717,-73.63652,Plafond Calorifuge Plancher,1932.0852813115712
4563 Rue St-Urbain,45.519372,-73.588427,,1932.3070489583788
4810 Avenue Van Horne,45.494284,-73.637617,Calorifuge Plancher,1932.4001404239898
500 Avenue Hudson,45.457444,-73.659405,Plafond Calorifuge Plancher,1933.3283341445608
6800 Rue Pierre-De-Coubertin,45.581798,-73.534272,Plafond Plancher,1931.4758232877634
314 Northview,45.454834,-73.654097,Calorifuge Plancher,1933.2698048220436
6111 Boul. M.-Duplessis,45.614637,-73.619933,Calorifuge,1934.8145495917547
6000 Avenue Fielding,45.476717,-73.63652,Calorifuge,1932.0852813115712
1935 Boul. Desmarchais,45.455697,-73.59091,Plafond Calorifuge,1931.1733962363608
5440 Rue Notre-Dame Ouest,45.467826,-73.597437,Plafond Calorifuge,1931.7518506294498
8955 Rue Meunier,45.538906,-73.64727,Plafond Plancher,1932.8630240305042
3030 Rue Villeray,45.560063,-73.604882,,1932.4831186469453
7575 19E Avenue,45.566937,-73.598897,Calorifuge,1932.6251258530037
5100. Chemin De La Côte-Saint-Luc,45.482873,-73.620062,Calorifuge Plancher,1932.2621432148223
9360 5E Rue,45.650523,-73.569045,Calorifuge,1940.0071096527208
6108 8E Avenue,45.551449,-73.582086,Calorifuge Plancher,1932.4967615892633
1741 Rue De Biencourt,45.458681,-73.588321,Plafond Calorifuge Plancher,1931.3145197768508
9944 Boul. Saint-Michel,45.5779,-73.641108,Plafond Calorifuge Plancher,1933.0879588630196
7770 20E Avenue,45.567362,-73.598536,Calorifuge,1932.6470323336034
6855 Boul. Cartier,45.546966,-73.602937,Calorifuge Plancher,1932.4745776903271
1000 Avenue Old Orchard,45.469391,-73.607118,Calorifuge Plancher,1931.7764809565776
8380 Avenue Wiseman,45.530061,-73.640308,Plafond Calorifuge Plancher,1932.666730789783
8961 6E Avenue,45.56785,-73.626925,Calorifuge Plancher,1932.8731413073974
4850 Avenue Coronation,45.461902,-73.643135,Calorifuge,1932.2659307441095
6255 Rue Hamilton,45.456468,-73.597644,Calorifuge Plancher,1931.2835554153855
8380 Avenue Wiseman,45.530061,-73.640308,Calorifuge Plancher,1932.666730789783
5925 27E Avenue,45.563746,-73.571468,Calorifuge Plancher,1932.534518386846
15 Place Du Parc,45.480545,-73.595689,Murs Plafond Calorifuge Plancher,1932.2533639792025
6000 Avenue Fielding,45.476717,-73.63652,Murs Plafond Calorifuge,1932.0852813115712
3000 Chem. De La Côte-Sainte-Catherine,45.502316,-73.624222,Drain pluvial,1932.7069887194257
5255 Av. Decelles,45.497726,-73.619853,Tuyauterie murs placher plafond surface de bureau puits mécaniques,1932.6730060542247
5714 Avenue DeDarlington,45.50553,-73.621515,Platre sur ciment linoléum Tuyaux de chauffage  crépis,1932.6787762489369
800 Rue De La Gauchetière,45.500344,-73.56552,coudes de tuyauterie,1932.1013466580027
385 R. Sherbrooke E,45.5169,-73.567641,tuyauterie,1932.1883733192724
503 Boul. Saint-Jean,45.451264,-73.818608,Plafond(flocage)calorifuge tuyauterie,1952.1901660696842
