DFRP-No_No-RBIF,Asset-name_Nom_du_bien,Street-number_Numéro-civique,Address_Adresse,City_Ville,Province-Code_Code-de-province,Province_Territory_Province_Territoire,Postal-code_Code-postal,Asset-type_Type-de-bien,Asbestos_Amiante,Mgmt-plan_Plan-gest
16975.0,Complexe Place Jacques Cartier,320,Saint Joseph Street East,Québec,QC,Quebec,G1K 8G5,Lease,Yes,Yes
31446.0,Building,280,Saint.Dominique Street,Québec,QC,Quebec,G1K 6R1,Lease,Yes,Yes
23130.0,Eastern Quebec Tax Services Office,2575,Sainte-Anne Boulevard,Québec,QC,Quebec,G1J 1Y5,Lease-Purchase,No,Not required
20838.0,Building,1245,Sainte-Foy Road,Québec,QC,Quebec,G1S 4P2,Lease,Yes,Yes
20807.0,Building,1825,Semple Street,Québec,QC,Quebec,G1N 4B8,Lease,Yes,Yes
130401.0,Armoury - Quebec City (Under construction),805,Wilfrid-Laurier Avenue,Québec,QC,Quebec,G1R 2L5,Crown-owned,Yes,Yes
22211.0,Building,667,Notre-Dame Street,Repentigny,QC,Quebec,J6A 2W5,Lease,No,Not required
5443.0,Federal building,180,De la Cathédrale Avenue,Rimouski,QC,Quebec,G5L 5H9,Crown-owned,Yes,Yes
49022.0,Building,180,Des Gouverneurs Street,Rimouski,QC,Quebec,G5L 7R2,Lease,No,Not required
16034.0,Building,287,Pierre-Saindon Street,Rimouski,QC,Quebec,G5L 9A7,Lease,No,Not required
13114.0,St-Laurent Place,70,Saint-Germain Street East,Rimouski,QC,Quebec,G5L 7J9,Lease,Yes,Yes
,Building,299,Lafontaine Street,Riviere-du-Loup,QC,Quebec,G7H 4T7,Lease,Yes,Work in progress
43754.0,Plaza Roberval,755,Saint-Joseph Boulevard,Roberval,QC,Quebec,G8H 2L4,Lease,No,Not required
7738.0,Federal building,44,Du Lac Avenue,Rouyn-Noranda,QC,Quebec,J9X 4N3,Crown-owned,Yes,Yes
7740.0,Réal-Caouette Building,151,Du Lac Avenue,Rouyn-Noranda,QC,Quebec,J9X 4N6,Crown-owned,Yes,Yes
55082.0,Le 255 Building,255,Racine Street East,Saguenay,QC,Quebec,G7H 7L2,Lease,No,Not required
21056.0,Building,98-100,Racine Street East,Saguenay,QC,Quebec,G7H 1R1,Lease,Yes,Yes
25127.0,Building,337,Guay Street,Saint-Bernard -de-Lacolle,QC,Quebec,J0J 1V0,Lease,Work in progress,Work in progress
43068.0,Building,1400,Marie-Victorin Boulevard,Saint-Bruno-de-Montarville,QC,Quebec,J3V 6B9,Lease,No,Not required
43062.0,Building,118,Principale Street East,Sainte-Agathe-des-Monts,QC,Quebec,J8C 1K1,Lease,No,Not required
20933.0,Édifice J.C. Lepage,230,1st Avenue West,Sainte-Anne-des-Monts,QC,Quebec,G4V 1E2,Lease,No,Not required
33238.0,Building,26-42,Du Parc Route,Sainte-Anne-des-Monts,QC,Quebec,G0E 2G0,Lease,No,Not required
21575.0,Building,252,Sainte-Anne Boulevard,Sainte-Anne-des-Monts,QC,Quebec,G4V 1N4,Lease,No,Not required
14024.0,Des Monts Building,10,Ste-Anne Boulevard West,Sainte-Anne-des-Monts,QC,Quebec,G4V 1P3,Lease,No,Not required
150837.0,Building,3229,Des-Quatre-Bourgeois Road,Sainte-Foy,QC,Quebec,G1W 0C1,Lease,Yes,Yes
9331.0,Maison de L'Emploi,100,Ducharme Boulevard,Sainte-Thérèse,QC,Quebec,J7E 1X2,Lease,No,Not required
20420.0,Building,250,Arthur-Sauvé Boulevard,Saint-Eustache,QC,Quebec,J7R 2H9,Lease,No,Not required
21880.0,Place Centre Ville,11400,1st Avenue East,Saint-Georges,QC,Quebec,G5Y 5S4,Lease,Yes,Yes
20621.0,Les Galeries St-Hyacinthe,3225,Cusson Street,Saint-Hyacinthe,QC,Quebec,J2S 0H7,Lease,No,Not required
