DFRP-No_No-RBIF,Asset-name_Nom_du_bien,Street-number_Numéro-civique,Address_Adresse,City_Ville,Province-Code_Code-de-province,Province_Territory_Province_Territoire,Postal-code_Code-postal,Asset-type_Type-de-bien,Asbestos_Amiante,Mgmt-plan_Plan-gest
22498.0,Building,289,Baldwin Street,Coaticook,QC,Quebec,J1A 2A2,Lease,No,Not required
6644.0,Building,224,Du Sud Street,Cowansville,QC,Quebec,J2K 2X4,Lease,No,Not required
20959.0,Building,1400,des Érables Street,Dolbeau-Mistassini,QC,Quebec,G8L 2W7,Lease,No,Not required
75127.0,Building,100,Route 138,Donnacona,QC,Quebec,G3M 1B5,Lease,No,Not required
22457.0,Dorval Square,185,Dorval Avenue,Dorval,QC,Quebec,H9S 5J9,Lease,No,Not required
6985.0,"700 Leigh-Capreol Plaza, Dorval, QC",700,Leigh-Capreol Street,Dorval,QC,Quebec,H4Y 1G7,Lease,Yes,Yes
150582.0,Building,2200,Reverchon Avenue,Dorval,QC,Quebec,H9P 2S7,Lease,No,Not required
73988.0,Building,975,Roméo Vachon North,Dorval,QC,Quebec,H4Y 1H2,Lease,Yes,Yes
23432.0,1175 Janelle St,1175,Janelle Street,Drummondville,QC,Quebec,J2C 3E2,Lease,No,Not required
17516.0,Building,1100,René-Lévesque,Drummondville,QC,Quebec,J2C 5W4,Lease,No,Not required
18453.0,Building,25,Route 138,Forestville,QC,Quebec,G0T 1E0,Lease,No,Yes
22698.0,Frédérica Giroux Building,98,De la Reine Street,Gaspé,QC,Quebec,G4X 3B3,Crown-owned,Yes,Yes
5146.0,Federal building,120,De la Reine Street,Gaspé,QC,Quebec,G4X 2R2,Crown-owned,Yes,Yes
43567.0,Location,126,Gaspé Street,Gaspé,QC,Quebec,G4X 1A9,Lease,No,Not required
5223.0,Government of Canada Building,194,Jacques-Cartier Street,Gaspé,QC,Quebec,G4X 1N2,Crown-owned,No,Not required
75039.0,Building,96,Sandy Beach Montée,Gaspé,QC,Quebec,G4X 2W4,Lease,Yes,Yes
6338.0,Building,920,Saint-Joseph Boulevard,Gatineau,QC,Quebec,J8Z 1S9,Lease,No,Not required
43146.0,Zigby Building,180,Principale Street,Granby,QC,Quebec,J2G 2V6,Lease,No,Not required
20980.0,Complexe Robinson,82,Robinson Street South,Granby,QC,Quebec,J2G 7L4,Lease,No,Not required
73949.0,Federal building,84,Du Carrefour Street,Grande-Rivière,QC,Quebec,G0C 1V0,Crown-owned,Yes,Yes
6533.0,Building,117,Hôtel-de-Ville Street,Grande-Rivière,QC,Quebec,G0C 1V0,Lease,No,Not required
19816.0,Building,,Lot 500,Harrington Harbour,QC,Quebec,G0G 1N0,Lease,No,Not required
11997.0,Federal building - Havre-Saint-Pierre,1340,De la digue Street,Havre-Saint-Pierre,QC,Quebec,G0C 1P0,Crown-owned,No,Not required
15917.0,Building,1038,Titane Street,Havre-Saint-Pierre,QC,Quebec,G0G 1P0,Lease,No,Not required
12377.0,Complexe Joliette,46,Gauthier rue,Joliette,QC,Quebec,J6E 4J4,Lease,No,Not required
25849.0,Building,3,Papineau Street,Joliette,QC,Quebec,J6E 9A1,Lease,No,Not required
17909.0,3750 Du Royaume Boulevard,3750,Du Royaume Boulevard,Jonquière,QC,Quebec,G7X 0A4,Lease,Work in progress,Work in progress
7996.0,Gilles Marceau Building,2251,René-Lévesque Boulevard,Jonquière,QC,Quebec,G7X 6K0,Crown-owned,Yes,Yes
59144.0,Building,,Lot S.L.S. 6-1 S.L.S.,Kahnawake,QC,Quebec,J0L 1B0,Lease,No,Not required
9673.0,Building,541,Saint-Etienne Street,La Malbaie,QC,Quebec,G5A 1J3,Lease,No,Not required
6190.0,Les Cours Painchaud,708,4th Avenue,La Pocatière,QC,Quebec,G0R 1Z0,Lease,No,Not required
21929.0,Building,319,Principale Street,La Sarre,QC,Quebec,J9Z 1Z4,Lease,No,Not required
75139.0,Building,290,Saint-Joseph Street,La Tuque,QC,Quebec,G9X 3Z8,Lease,No,Not required
18723.0,Federal building,9,De l'Eglise Street North,Lacolle,QC,Quebec,J0J 1J0,Crown-owned,Yes,Yes
43171.0,Jeanne-Sauvé Building,1575,Chomedey Boulevard,Laval,QC,Quebec,H7V 2X2,Crown-owned,No,Not required
6932.0,Concorde Complex,3131,De la Concorde Boulevard East,Laval,QC,Quebec,H7E 4W4,Lease,No,Not required
20895.0,Building,1041,Des Laurentides Boulevard,Laval,QC,Quebec,H7G 2W2,Lease,No,Not required
6500.0,Building,3400,Jean-Béraud Avenue,Laval,QC,Quebec,H7T 2Z2,Lease,No,Not required
55093.0,Place Laval Complex,3,Laval Place,Laval,QC,Quebec,H7N 1A2,Lease,Yes,Yes
25855.0,Building,4,Laval Place,Laval,QC,Quebec,H7N 5Y3,Lease,Work in progress,Work in progress
25858.0,Building,5550,Frontenac Street,Lac Megantic,QC,Quebec,G6B 1H5,Lease,Work in progress,Work in progress
18187.0,Building,1091-2,de la Vernière Road,L'Étang-du-Nord,QC,Quebec,G4T 3E2,Lease,No,Not required
17986.0,Building,50,Président-Kennedy Route,Lévis,QC,Quebec,G6V 6W8,Lease,Yes,Yes
55089.0,Herelle Place,550,De Chambly Road,Longueuil,QC,Quebec,J4H 3L8,Lease,No,Not required
43090.0,Place Montérégie,101,Roland-Therrien Boulevard,Longueuil,QC,Quebec,J4H 4B9,Lease,No,Not required
73897.0,Complexe St-Charles,1111,Saint-Charles Street West,Longueuil,QC,Quebec,J4K 5G4,Lease,No,Not required
6740.0,Health Protection Laboratory,1001,Saint-Laurent Street West,Longueuil,QC,Quebec,J4K 1C7,Lease,Yes,Yes
16022.0,Building,1195,Tremblay Road,Longueuil,QC,Quebec,J4N 1R4,Lease,No,Not required
6939.0,Building,1225,Saint-Charles Street,Longueuil,QC,Quebec,J4K 0B9,Lease,No,Not required
6521.0,Albert Building,507,Marcel Street,Louiseville,QC,Quebec,J5V 1N1,Lease,No,Not required
13257.0,Galeries Orford,1700,Sherbrooke Street,Magog,QC,Quebec,J1X 5B4,Lease,Yes,Yes
55341.0,Les Galeries Maniwaki,100,Principale Street South,Maniwaki,QC,Quebec,J9E 3L4,Lease,No,Not required
5398.0,René Tremblay Building,150,Dion Boulevard,Matane,QC,Quebec,G4W 3L7,Crown-owned,Yes,Yes
5399.0,Du Vieux Port Shopping Mall,750,Du Phare Avenue,Matane,QC,Quebec,G4W 3W8,Lease,No,Yes
14356.0,Proservin Building,17660,Charles Street,Mirabel,QC,Quebec,J7J 0C3,Lease,No,Not required
7047.0,Léonce-Lessard Building,1420,Saint-Catherine Street West,Montréal,QC,Quebec,H3G 1R3,Crown-owned,Yes,Yes
13956.0,Building,431,De la Madone Street,Mont-Laurier,QC,Quebec,J9L 1S1,Lease,Yes,Yes
17552.0,Building,37,Sainte-Brigitte Avenue South,Montmagny,QC,Quebec,G5V 2Y3,Lease,No,Not required
17863.0,Building,6,Saint-Jean-Baptiste Street East,Montmagny,QC,Quebec,G5V 1J7,Lease,No,Not required
7099.0,715 Peel,715,715 Peel / 1010 St-Antoine | 1010 St-Antoine | 1025 St-Jacques,Montréal,QC,Quebec,H3C 4H6,Crown-owned,Yes,Yes
7100.0,Dominique Ducharme Building,105,105 McGIll Street/400 D'Youville Place,Montréal,QC,Quebec,H2Y 3N4,Crown-owned,Yes,Yes
21980.0,Building,550,Beaumont,Montréal,QC,Quebec,H3N 1V1,Lease,No,Not required
7048.0,Normand-Maurice Building,740,Bel-Air Street,Montréal,QC,Quebec,H4C 2K3,Crown-owned,No,Not required
153558.0,Building,1501,De Bleury Street,Montréal,QC,Quebec,H5A 2J2,Lease,Work in progress,Work in progress
6495.0,Place Bonaventure,800,De la Gauchetière Street West,Montréal,QC,Quebec,H5A 1L6,Lease,Yes,Yes
22590.0,5151 De la Savane St,5151,De la Savane Street,Montréal,QC,Quebec,H4P 1V1,Lease,No,Not required
