Asset-name_Nom_du_bien,Street-number_Numéro-civique,Address_Adresse,City_Ville,Province-Code_Code-de-province,Province_Territory_Province_Territoire,Postal-code_Code-postal,Asbestos_Amiante
KG Parkade,101,23rd Street,Saskatoon,SK,Saskatchewan,S7K 0J1,No
Princeton Tower,123,2nd Avenue South,Saskatoon,SK,Saskatchewan,S7K 7E6,No
T and T Towers,350,3rd Avenue North,Saskatoon,SK,Saskatchewan,S7K 6G7,Yes
Innovation Place,421,Downey Road,Saskatoon,SK,Saskatchewan,S7N 4L8,No
3427 Faithfull Ave,3427,Faithfull Avenue,Saskatoon,SK,Saskatchewan,S7K 8H6,No
Property Number 17920,2309,Hanselman Place,Saskatoon,SK,Saskatchewan,S7L 6A9,No
Market Mall,2325,Preston Avenue,Saskatoon,SK,Saskatchewan,S7J 2G2,No
University of Saskatchewan,108,Research Drive,Saskatoon,SK,Saskatchewan,S7N 3R3,No
Psychiatric Centre,,SE11-37-5-W3,Saskatoon,SK,Saskatchewan,S7K 3X5,No
Calibration Lab,2404,Thayer Avenue,Saskatoon,SK,Saskatchewan,S7L 6B4,No
Office Building,100,Railway Avenue,Spiritwood,SK,Saskatchewan,S0J 2H0,No
Chinook Centre Office Building,250,Central Avenue North,Swift Current,SK,Saskatchewan,S9H 0L2,No
Office Building,1677,Sidney Street,Swift Current,SK,Saskatchewan,S9H 5H1,No
MNP Place,117,3rd Street,Weyburn,SK,Saskatchewan,S4H 0W3,No
J A Peppar Building,110,Souris Avenue,Weyburn,SK,Saskatchewan,S4H 2Z8,No
Re/Max Blue Chip Realty,80,Palliser Way,Yorkton,SK,Saskatchewan,S3N 4C5,No
Imperial Plaza,214,Smith Street,Yorkton,SK,Saskatchewan,S3N 3S6,No
Building,211,1st Avenue East,Brooks,AB,Alberta,T1R 0G9,Work in progress
Centre 10,517,10th Avenue Southwest,Calgary,AB,Alberta,T2R 0A8,No
McKnight Building (Warehouse - Calibration Laboratory),4712,13th Street Northeast,Calgary,AB,Alberta,T2E 6P1,No
Harry Hays Building,220,4th Avenue Southeast,Calgary,AB,Alberta,T2G 4X3,Yes
Barclay Centre,606,4th Street Southwest,Calgary,AB,Alberta,T2P 1T1,No
Building,150,6th Avenue Soutwest,Calgary,AB,Alberta,T2P 3Y7,No
Bantrel Tower,700,6th Avenue Soutwest,Calgary,AB,Alberta,T2P 0T8,No
Centennial Parkade,635,8th Avenue,Calgary,AB,Alberta,T2P 3M3,Yes
Duncan Building (Panasonic),7575,8th Steet Northeast,Calgary,AB,Alberta,T2E 8A2,No
Airport Corporate Centre,1601,Airport Road,Calgary,AB,Alberta,T2E 6Z8,No
Calgary International Airport,2000,Airport Road,Calgary,AB,Alberta,T2E 6W5,Yes
Bisma Centre,110,Country Road Hills Northwest,Calgary,AB,Alberta,T3K 5P3,No
One Executive Place,1816,Crowchild Trail Northwest,Calgary,AB,Alberta,T2M 3Y7,No
Manhattan Building,4415,Manhattan Road Southeast,Calgary,AB,Alberta,T2G 4B3,No
Cantex Building,225,Manning Road Northeast,Calgary,AB,Alberta,T2E 2P5,No
Royal Vista Professional Centre,15,Royal Vista Place,Calgary,AB,Alberta,T3R 0N2,No
5401 Temple,5401,Temple Drive NE,Calgary,AB,Alberta,T1Y 3R7,No
Camrose Office Building,4901,50th Avenue,Camrose,AB,Alberta,T4V 0S2,No
Canmore Gateway Shoppes,802,Bow Valley Trail,Canmore,AB,Alberta,T1W 1N6,No
Epcor Tower,10423,101th Street Northwest,Edmonton,AB,Alberta,T5H 0E7,No
Bell Tower,10104,103rd Avenue Northwest,Edmonton,AB,Alberta,T5J 0H8,No
104 Street Place,10345,104th Street Northwest,Edmonton,AB,Alberta,T5J 1B9,No
Kelly Building,17803,106A Avenue Northwest,Edmonton,AB,Alberta,T5S 1V8,No
The Baker Center Building,10025,106th Street,Edmonton,AB,Alberta,T5J 1S6,Yes
16825 - 107 ave Building,16825,107th Avenue Northwest,Edmonton,AB,Alberta,T5K 0P4,No
Capital Boulevard Building,10044,108th Street Northwest,Edmonton,AB,Alberta,T5J 3S7,Yes
Royal Canadian Mounted Police 'K' Division Headquarters Garage Carwash,11140,109th Street,Edmonton,AB,Alberta,T5G 2T4,No
Royal Canadian Mounted Police 'K' Division Headquarters,11140,109th Street Northwest,Edmonton,AB,Alberta,T5G 2T4,No
Century Point Business Park - Building E,17504,111th Avenue Northwest,Edmonton,AB,Alberta,T5S 0A2,No
Winfield Lands,17412,116th Avenue,Edmonton,AB,Alberta,T5S 2X2,No
Dominion Centre,14540,121A Avenue,Edmonton,AB,Alberta,T5L 4L2,No
Sharet Business Centre,15825,121A Avenue,Edmonton,AB,Alberta,T5V 1B1,No
Building,10216,124th Street,Edmonton,AB,Alberta,T5N 4A3,Work in progress
Capilano Business Centre Building,4711,91sh Avenue West,Edmonton,AB,Alberta,T6B 2M7,No
Neufeld Building,9015,46th Street Northwest,Edmonton,AB,Alberta,T6B 3B2,No
Neufeld Two Building,9021,46th Street Northwest,Edmonton,AB,Alberta,T6B 3B2,No
M J Greenwood Building,9345,49th Street Northwest,Edmonton,AB,Alberta,T6B 2L8,No
Eastgate Offices,9240/60,49th Street Northwest,Edmonton,AB,Alberta,T6B 1K5,No
Hermitage Square,12735,50 Street,Edmonton,AB,Alberta,T5A 4L8,No
Eastgate Building,9305,50th Street,Edmonton,AB,Alberta,T6L 5A2,No
Roper Ridge Business Park,5605,70th Street,Edmonton,AB,Alberta,T6B 3P6,No
Coronet Building,8403,Coronet Road,Edmonton,AB,Alberta,T6E 4N7,No
"10065 Jasper Avenue, Edmonton, AB",10065,Jasper Avenue,Edmonton,AB,Alberta,T5J 3B1,Yes
Canada Place,9700,Jasper Avenue Northwest,Edmonton,AB,Alberta,T5J 4C3,No
A T B Place - North Tower,10025,Jasper Avenue Northwest,Edmonton,AB,Alberta,T5J 1S6,Yes
Scotia Place,10060,Jasper Avenue Northwest,Edmonton,AB,Alberta,T5J 3R8,Yes
Millbourne Professional Centre,38 Avenue,Millwoods Road,Edmonton,AB,Alberta,T6K 3L6,No
Summerside Centre,1028,Parsons Road Southwest,Edmonton,AB,Alberta,T6X 0J4,No
Service Canada Centre,4905,4th Avenue,Edson,AB,Alberta,T7E 1T5,No
McMurray Furniture Home Centre,306,MacKay Crescent,Fort McMurray,AB,Alberta,T9H 4E4,No
River Ridge Estates,8530,Manning Avenue,Fort McMurray,AB,Alberta,T9H 5G2,No
Kuusamo Building,405,Taiga Nova Crescent,Fort McMurray,AB,Alberta,T9K 0T4,No
Sterling Centre,11601,101th Avenue,Grande Prairie,AB,Alberta,T8V 3X9,No
West side Proffesional Centre,9906,106th Street,Grande Prairie,AB,Alberta,T8V 2V4,No
214 Place,9909,102th Street,Grande Prairie,AB,Alberta,T8V 2V4,Yes
Wright Centre,62,Woodland Drive,Hay River,AB,Alberta,X0E 1G1,Work in progress
Samson Mall,101,Lake Louise Drive,Lake Louise,AB,Alberta,T0L 1E0,No
Vault Building,3605,14th Avenue North,Lethbridge,AB,Alberta,T1H 6P7,No
Building,427,7th south Street,Lethbridge,AB,Alberta,T1H 2G5,Work in progress
Lethbridge Centre,200,4th Avenue South,Lethbridge,AB,Alberta,T1J 4C9,Work in progress
J. D. Higinbotham Building,704,4th Avenue South,Lethbridge,AB,Alberta,T1J 0N8,Yes
The Building,4114,70th Avenue,Lloydminster,AB,Alberta,T9V 2X3,No
Medical Arts Centre,770,6th Street Southeast,Medicine Hat,AB,Alberta,T1A 8M7,No
"78 8 St NW, Medicine Hat, AB",78,8th Steet Northwest,Medicine Hat,AB,Alberta,T1A 6P1,No
Office Building,9611,89th Avenue,Peace River,AB,Alberta,T8S 1G8,No
Wood Building,4805,48th Avenue,Red Deer,AB,Alberta,T4N 3T2,No
Government of Canada Building Red Deer,4909,50th Street,Red Deer,AB,Alberta,T4N 1X8,Yes
First Red Deer Place,4911,51st Street,Red Deer,AB,Alberta,T4N 6V4,Work in progress
Building,20,Thomslison Avenue,Red Deer,AB,Alberta,T4P 0W3,Work in progress
Klosse Building,5010A,50th Avenue,Rocky Mountain House,AB,Alberta,T4T 1A6,No
Airport Terminal,,,Rocky Mountain House,AB,Alberta,T0M 1T0,No
Sawridge Plaza,100,Main Street South,Slave Lake,AB,Alberta,T0G 2A3,No
HRSDC Office,4807,50th Avenue,St. Paul,AB,Alberta,T0A 3A0,No
Chief Joseph Big Plume Building Tsuu T'ina,9911,Chiila Boulevard,Tsuu T'ina Nation 145,AB,Alberta,T2W 6H6,No
Government of Canada Building Fort Simpson,9606,100th Street,Fort Simpson,NT,Northwest Territories,X0E 0K0,Yes
Government of Canada Building - Garage - Ft Simpson,9621,102nd Street,Fort Simpson,NT,Northwest Territories,X0E 0N0,No
Fort Smith Government of Canada Building,149,McDougal Road,Fort Smith,NT,Northwest Territories,X0E 0P0,No
Hay River Government of Canada Building,41,Capital Drive,Hay River,NT,Northwest Territories,X0E 0R0,Yes
Garage/Appliance Repair Shop (Prov Lt E),17,Franklin Road,Inuvik,NT,Northwest Territories,X0E 0T0,Yes
Warehouse 2,70,Franklin Road,Inuvik,NT,Northwest Territories,X0E 0T0,No
Warehouse 1,78,Franklin Road,Inuvik,NT,Northwest Territories,X0E 0T0,No
Warehouse 4 (Old Office),72B,Franklin Road,Inuvik,NT,Northwest Territories,X0E 0T0,Yes
83 Kingmingya Road,83,Kingmingya Road,Inuvik,NT,Northwest Territories,X0E 0T0,No
Building Inuvik,85 - 89,Kingmingya Road,Inuvik,NT,Northwest Territories,X0E 0T0,No
Inuvik Government of Canada Building,187,Mackenzie,Inuvik,NT,Northwest Territories,X0E 0T0,Yes
Water Survey Building,122,Navy Road,Inuvik,NT,Northwest Territories,X0E 0T0,No
Yellowknife Tradeshop,5005,44th Street,Yellowknife,NT,Northwest Territories,X1A 1K3,Yes
Henry Larsen (Royal Canadian Mounted Police 'G' Division),5010,49th Avenue,Yellowknife,NT,Northwest Territories,X1A 2R3,Yes
Greenstone Building,5101,50th Avenue,Yellowknife,NT,Northwest Territories,X1A 1E1,No
Northwest Tower,5201,50th Avenue,Yellowknife,NT,Northwest Territories,X1A 1E1,No
Diamond Plaza Building,5204,50th Avenue,Yellowknife,NT,Northwest Territories,X1A 1E2,No
Gallery Building,4923,52th Street,Yellowknife,NT,Northwest Territories,X1A 2L9,No
Nova Coast Plaza,5019,52th Street,Yellowknife,NT,Northwest Territories,X1A 1T5,No
Kam Lake Industrial Centre,3,Coronation Drive,Yellowknife,NT,Northwest Territories,X1A 3Y2,Yes
Warehouse/Lab,3534,McDonald Drive,Yellowknife,NT,Northwest Territories,X1A 2H1,No
Lot 16 Old Airport Road Site,325C,Old Airport Road,Yellowknife,NT,Northwest Territories,X1A 2Z9,No
1785 Clearbrook Road,1785,Clearbrook Road,Abbotsford,BC,British Columbia,V2T 5X5,No
Building,32544,George Ferguson Way,Abbotsford,BC,British Columbia,V2T 4Y1,No
"33991 Gladys Ave, Abbotsford, BC",33991,Gladys Avenue,Abbotsford,BC,British Columbia,V2S 2E8,No
Building,1925,McCallum Road,Abbotsford,BC,British Columbia,V2S 3N2,No
Building B,30585,Progressive Way,Abbotsford,BC,British Columbia,V2T 6W3,No
Building,32525,Simon Avenue,Abbotsford,BC,British Columbia,V2T 4W6,No
Fisheries and Oceans Building,293,MacKenzie Highway,Bella Coola,BC,British Columbia,V0T 1C0,No
Building,4595,Canada Way,Burnaby,BC,British Columbia,V5G 1J9,No
"100 - 3480 Gilmore Way, Burnaby, BC",3480,Gilmore Way,Burnaby,BC,British Columbia,V5G 4Y1,No
"Metrotower II, Eaton Ctr, Metrotown",4720,Kingsway,Burnaby,BC,British Columbia,V5H 4N2,Yes
"3292 Production Way, Burnaby, BC",3292,Production Way,Burnaby,BC,British Columbia,V5A 4R4,No
Building,4321,Still Creek Drive,Burnaby,BC,British Columbia,V5C 6S7,No
"3001 Wayburne Drive, Burnaby, BC (Lease 1)",3001,Wayburne Drive,Burnaby,BC,British Columbia,V5G 4W3,Yes
Government of Canada Building - Federal Annex,940,Alder Street,Campbell River,BC,British Columbia,V9W 2P8,Yes
Building,950,Alder Street,Campbell River,BC,British Columbia,V9W 2P8,No
Building,1421,Maple Street,Campbell River,BC,British Columbia,V9W 5M4,No
Building,1520,Tamarac Street,Campbell River,BC,British Columbia,V9W 3M5,No
Building,2023,Woodburn Road,Campbell River,BC,British Columbia,V9W 4R3,No
Building,9345,Main Street,Chilliwack,BC,British Columbia,V2P 4M3,No
Building,44500,Sumas Road,Chilliwack,BC,British Columbia,V2R 5M3,No
"8990 Young Rd, Chilliwack, BC",8990,Young Road,Chilliwack,BC,British Columbia,V2P 4R8,No
"3179 Jacklin Rd, Colwood, BC",3179,Jacklin Road,Colwood,BC,British Columbia,V9B 3Y7,No
Building,148,Port Augusta Street,Comox,BC,British Columbia,V9M 3N6,No
Building,2963,Glen Drive,Coquitlam,BC,British Columbia,V3B 2P7,No
Building,130,19th Street,Courtenay,BC,British Columbia,V9N 8S1,No
Provincial Courthouse,420,Cumberland Road,Courtenay,BC,British Columbia,V9N 2C4,Yes
"2435 Mansfield Dr, Courtenay, BC",2435,Mansfield Drive,Courtenay,BC,British Columbia,V9N 2M2,No
Colbrook Building,1113,Baker Street,Cranbrook,BC,British Columbia,V1C 1A7,No
"905-B Industrial No 2 Rd, Cranbrook, BC",905-B,Industrial No 2 Road,Cranbrook,BC,British Columbia,V1C 4C9,No
Building,850,King Street,Cranbrook,BC,British Columbia,V1C 4E8,No
Building,2715,Theatre Road,Cranbrook,BC,British Columbia,V1C 7B8,No
BC Cranbrook - 535 Victoria Ave N,535,Victoria Avenue North,Cranbrook,BC,British Columbia,V1C 6S3,No
Building,1508,102nd Avenue,Dawson Creek,BC,British Columbia,V1G 2E2,Yes
Government of Canada Building - Annacis Marine Base,100,Annacis Parkway,Delta,BC,British Columbia,V3M 6A2,No
Government of Canada Building - Annacis Island Office,100,Annacis Parkway,Delta,BC,British Columbia,V3M 6A2,No
Government of Canada Building - Annacis Island Warehouse,100,Annacis Parkway,Delta,BC,British Columbia,V3M 6A2,No
Building,211,Jubilee Street,Duncan,BC,British Columbia,V9L 1W8,No
Building,5245,Trans Canada Highway,Duncan,BC,British Columbia,V9L 5J2,No
Esquimalt Graving Dock - Building 1001 - Back Guard House,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 1002 - Office,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - Building 1007 - Kiln,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - Building 1014 - Workshop Storage,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - Building 1022 - Back Washroom,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 1032 - Water Meter Shed,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 1033 - North Landing Wharf Sub-Station,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 1062 - POL Hazmat Storage,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 1063 - POL Hazmat Storage,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2000 - Service Entrance Substation,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2003 - Electrical Kiosk,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2004 - POL Hazmat Storage,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2005 - Emergency Container,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2006 - Elecrtical Storage & Workshop,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2011 - Pumphouse Garage,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2012 - Electrical Office,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2013 - Pumphouse,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - Building 2014 - Middle Penstock & Dock Egress,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - Building 2015 - Main Penstock,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2016 - Pumphouse Substation,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2019 - Public Washroom,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2020 - Old Main Substation,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2021 - Generator Building,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - Building 2022 - Main Substation,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2024 - Environmental/Project Office,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2025 - Operations Building,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2026 - Risk Management Building,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2027 - EGD Gazebo,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2028 - Supervisors Offices,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 2029 - Sea Can Garage & Storage Area,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 3000 - Rope Locker,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 3070 - Standby Generator Building,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 3075 - Welding Shop & Compressor Room,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - Building 3080 - South Side Sub-Station,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 3130 - South Side Fueling Station,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 4001 - Demarcation Building,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 4002 - Main Gate Kiosk,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 4003 - Commissionaires Lunchroom,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 4005 - East Brick Building,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - Building 4006 - Lockley Office Building,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 4007 - Commissionaires Turnstile Kiosk,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Building 4011 - East Office Building,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - Building 4012 - East Library Building,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - Caissons #1,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - Caissons #2,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - Drydock Service Tunnels,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - Emergency Generator Tanks,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Capstan #1 South,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - Capstan #2 South,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,Yes
Esquimalt Graving Dock - 150 Ton Krup,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - 30 Ton Ebco,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Esquimalt Graving Dock - 30 Ton Kone,825,Admirals Road,Esquimalt,BC,British Columbia,V9A 2P1,No
Fort Nelson Government of Canada Building,5007,Airport Road,Fort Nelson,BC,British Columbia,V0C 1R0,Yes
Fort Nelson Airport,,R.R. #1,Fort Nelson,BC,British Columbia,V0C 1R0,No
Warehouse Building,10049,86th Street,Fort St. John,BC,British Columbia,V1J 3G5,No
"501 Muchalat Dr, Gold River, BC",501,Muchalat Drive,Gold River,BC,British Columbia,V0P 1G0,No
Bank of Montreal Building,175,2nd Avenue,Kamloops,BC,British Columbia,V2C 5W1,No
Building,985,Mcgill Place,Kamloops,BC,British Columbia,V2C 6X6,No
Kamloops Government of Canada Building,317,Seymour Street,Kamloops,BC,British Columbia,V2C 2E8,Yes
"520 Seymour St, Kamloops, BC",520,Seymour Street,Kamloops,BC,British Columbia,V2C 2G9,No
Park Place,1635,Abbott Street,Kelowna,BC,British Columbia,V1Y 1A9,No
Kelowna Airport,5583,Airport Way,Kelowna,BC,British Columbia,V1V 1S1,No
Office Building,2711,Auburn Road,Kelowna,BC,British Columbia,V1Z 3H7,Work in progress
Office Building,1863,Bredin Road,Kelowna,BC,British Columbia,V1Y 7S9,No
Building,1620,Dickson Avenue,Kelowna,BC,British Columbia,V1Y 9Y2,No
Landmark Square,1726,Dolphin Avenue,Kelowna,BC,British Columbia,V1Y 8A6,No
Capri Centre,1835,Gordon Drive,Kelowna,BC,British Columbia,V1Y 3H4,No
Kelowna Government of Canada Building,471,Queensway Avenue,Kelowna,BC,British Columbia,V1Y 6S5,Yes
Building,27452,52nd Avenue,Langley,BC,British Columbia,V4W 4B2,No
410 Business Centre,9355,198th Street,Langley,BC,British Columbia,V1M 3J9,Yes
"8747 204th St, Langley, BC",8747,204th Street,Langley,BC,British Columbia,V1M 2Y5,No
Building,5550,268th Street,Langley,BC,British Columbia,V4W 3X4,No
Building,5370,271st Street,Langley,BC,British Columbia,V4W 3Y7,No
Building,654,Industrial Place,Lillooet,BC,British Columbia,V0K 1V0,No
Building,12841,Madeira Park Road,Madeira Park,BC,British Columbia,V0N 2H0,No
Building,20110,Lougheed Highway,Maple Ridge,BC,British Columbia,V2X 2P7,No
Building,22325,Lougheed Highway,Maple Ridge,BC,British Columbia,V2X 2T3,No
Fisheries and Oceans Building,1390,Christie Street,Masset,BC,British Columbia,V0T 1M0,No
Building,2010,Boxwood Road,Nanaimo,BC,British Columbia,V9S 5W7,No
Building,2035,Boxwood Road,Nanaimo,BC,British Columbia,V9S 5X9,No
Nanaimo Government of Canada Building,60,Front Street,Nanaimo,BC,British Columbia,V9R 5H7,Yes
"1965 Island Diesel Way, Nanaimo, BC",1965,Island Diesel Way,Nanaimo,BC,British Columbia,V9S 5W8,No
Office Building,256,Wallace Street,Nanaimo,BC,British Columbia,V9R 5B3,No
"1150 Lakeside Dr, Nelson, BC",1150,Lakeside Drive,Nelson,BC,British Columbia,V1L 5Z3,No
Fisheries and Oceans Building,4351,11th Avenue,New Hazelton,BC,British Columbia,V0J 2J0,No
Dominion Trust Building,600,Columbia Street,New Westminster,BC,British Columbia,V3M 1A5,No
Building,620,Royal Avenue,New Westminster,BC,British Columbia,V3M 1J2,No
Shell Aero Centre,1962,Canso Road,North Saanich,BC,British Columbia,V8L 5V5,No
Sawmill Rd Commercial Building,5889,Sawmill Road,Oliver,BC,British Columbia,V0H 1T0,No
Building,386,Ellis Street,Penticton,BC,British Columbia,V2A 8C9,No
Building,60,Nanaimo Avenue West,Penticton,BC,British Columbia,V2A 1N1,No
Building,187,Nanaimo Avenue West,Penticton,BC,British Columbia,V2A 1N4,No
Penticton Government of Canada Building,277,Winnipeg Street,Penticton,BC,British Columbia,V2A 1N6,Yes
"4805 Mar St, Port Alberni, BC",4805,Mar Street,Port Alberni,BC,British Columbia,V9Y 8J5,No
"4706 Tebo Ave, Port Alberni, BC",4706,Tebo Avenue,Port Alberni,BC,British Columbia,V9Y 8B1,No
Building,8585,Wollason Street,Port Hardy,BC,British Columbia,V0N 2P0,No
Building,7061,Duncan Street,Powell River,BC,British Columbia,V8A 1W1,No
Building,7255,Duncan Street,Powell River,BC,British Columbia,V8A 5M6,No
Building,1363,4th Avenue,Prince George,BC,British Columbia,V2L 3J6,No
Government of Canada Building - Federal Office and Warehouse,3690,Massey Drive,Prince George,BC,British Columbia,V2N 2S8,Yes
Government of Canada Building - Federal Office and Warehouse - Sheds,3690,Massey Drive,Prince George,BC,British Columbia,V2N 2S8,Yes
Westel Building,177,Victoria Street,Prince George,BC,British Columbia,V2L 5R8,No
Oxford Building,280,Victoria Street,Prince George,BC,British Columbia,V2L 4X3,Yes
HSBC Tower,299,Victoria Street,Prince George,BC,British Columbia,V2L 5B8,No
Building,550,Victoria Street,Prince George,BC,British Columbia,V2L 2K1,Work in progress
Ocean Centre,309,2nd Avenue West,Prince Rupert,BC,British Columbia,V8J 3T1,No
Prince Rupert Government of Canada Building,417,2nd Avenue West,Prince Rupert,BC,British Columbia,V8J 1G3,Yes
Building,45,Charlie Currie Road,Prince Rupert,BC,British Columbia,V8J 0A1,No
Queen Charlotte City Federal Building,137,Bay Street,Queen Charlotte City,BC,British Columbia,V0T 1S0,No
Building,283,Reid Street,Quesnel,BC,British Columbia,V2J 2M1,Yes
Revelstoke Government of Canada Building,301,3rd Street West,Revelstoke,BC,British Columbia,V0E 2S0,Yes
Building,5611,Cooney Road,Richmond,BC,British Columbia,V6X 3J6,No
Building,4831,Miller Road,Richmond,BC,British Columbia,V7B 1K7,No
Building,4851,Miller Road,Richmond,BC,British Columbia,V7B 1K7,Work in progress
Steveston Government of Canada Building,12551,No. 1 Road,Richmond,BC,British Columbia,V7E 1T6,Yes
Omnia Centre,3071,No. 5 Road,Richmond,BC,British Columbia,V6X 2T4,No
Building,5988,No. 6 Road,Richmond,BC,British Columbia,V6V 1Z1,No
International Airport Terminal,C2621,Vancouver Intl Airport,Richmond,BC,British Columbia,V7B 1Y7,Yes
Building,13160,Vanier Place,Richmond,BC,British Columbia,V6V 2J2,No
"12511 Vulcan Way, Richmond, BC",12511,Vulcan Way,Richmond,BC,British Columbia,V6V 1J7,No
Warehouse Building,4250,Commerce Circle,Saanich,BC,British Columbia,V8Z 4M2,No
Building,1751,10th Avenue Southwest,Salmon Arm,BC,British Columbia,V1E 4M3,No
Building,191,Shuswap Street,Salmon Arm,BC,British Columbia,V1E 4P6,No
"3793 Alfred Ave, Smithers, BC",3793,Alfred Avenue,Smithers,BC,British Columbia,V0J 2N0,Yes
Access Centre,1020,Murray Street,Smithers,BC,British Columbia,V0J 2N0,No
Building,3167,Tatlow Road,Smithers,BC,British Columbia,V0J 2N5,No
Smithers Federal Building - Fisheries and Oceans,3177,Tatlow Road,Smithers,BC,British Columbia,V0J 2N0,No
Fisheries and Oceans Building,1120,Hunter Place,Squamish,BC,British Columbia,V0N 3G0,No
"1440 Winnipeg St, Squamish, BC",1440,Winnipeg Street,Squamish,BC,British Columbia,V8B 0B2,No
Office,17735,1st Avenue,Surrey,BC,British Columbia,V3S 9S1,No
