lat,lon,Z,Name,Organisme,Adresse,Ville,Province,Code_postal,Localisation_de_l_amiante,Source,L__gislation,Cat__gorie,Latitude,Longitude,Code postal,amiante,gislation,gorie
-73.624579,45.570501,0,Ste-Lucie,CS Côte du Sud,8901 Boul. Saint-Michel,Montréal,Québec,H1Z 3G3,plafonds planchers calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.570501,-73.624579,H1Z 3G3,plafonds planchers calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.555142,45.550516,0,Des Nations,CSEM,3737 Rue Sherbrooke Est,Montréal,Québec,H1X 3B3,Mur plafond plancher calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.550516,-73.555142,H1X 3B3,Mur plafond plancher calorifuge,LSST RSST et CSTC,Établissement scolaire
-71.301081,46.768141,0,École Secondaire De Rochebelle Pav. Gilles Vigneault,Des Découvreurs,1095 Avenue De Rochebelle,Montréal,Québec,G1V 4P8,Plafond (1 local) plancher (3 locaux) tuyauterie,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,46.768141,-71.301081,G1V 4P8,Plafond (1 local) plancher (3 locaux) tuyauterie,LSST RSST et CSTC,Établissement scolaire
-71.301081,46.768141,0,École Secondaire De Rochebelle Pav. Jacques-Rousseau,Des Découvreurs,1095 Avenue De Rochebelle,Montréal,Québec,G1V 4P8,Murs,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,46.768141,-71.301081,G1V 4P8,Murs,LSST RSST et CSTC,Établissement scolaire
-73.561445,45.494844,0,Carrefour d'innovation INGO,École de technologie supérieure,355 Rue Peel,Montréal,Québec,H3C 2G9,Structure,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.494844,-73.561445,H3C 2G9,Structure,LSST RSST et CSTC,Établissement scolaire
-73.564094,45.493745,0,Mde,École de technologie supérieure,1220 R. Notre Dame O,Montréal,Québec,H3C 1K5,Tuyauterie,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.493745,-73.564094,H3C 1K5,Tuyauterie,LSST RSST et CSTC,Établissement scolaire
-73.292847,45.306185,0,Pavillon H (Planetarium),École de technologie supérieure,1000 Rue Saint-Jacques,Montréal,Québec,J3B 2N5,Planchers isolations plafonds,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.306185,-73.292847,J3B 2N5,Planchers isolations plafonds,LSST RSST et CSTC,Établissement scolaire
-73.562819,45.49566,0,QMD,École de technologie supérieure,990 Rue Notre-Dame W,Montréal,Québec,H3C 1K1,Calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.49566,-73.562819,H3C 1K1,Calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.723366,45.548471,0,Garderie Les Petits Génies,École Polytechnique de Montréal,2775 Avenue Willowdale,Montréal,Québec,H3T 1H4,Calorifugeage,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.548471,-73.723366,H3T 1H4,Calorifugeage,LSST RSST et CSTC,Établissement scolaire
-73.612414,45.502752,0,Pavillon Principal,École Polytechnique de Montréal,2500 Chem. De Polytechnique,Montréal,Québec,H3T 1J4,Calorifugeage isolant (ignifugeage) murs (joint de gypse) sol,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.502752,-73.612414,H3T 1J4,Calorifugeage isolant (ignifugeage) murs (joint de gypse) sol,LSST RSST et CSTC,Établissement scolaire
