Adresse,Latitude,Longitude,AverageConstructionYearNearby
1130 Av Des Pins O,45.504205,-73.582268,1926.487012987013
475 Av Des Pins O,45.509868,-73.579242,1920.081081081081
3654 Promenade Sir-William-Osler,45.502463,-73.582461,1926.1535947712418
3653 Rue De La Montagne.,45.501721,-73.582954,1927.6777777777777
853 Sherbrooke O,45.503493,-73.575035,1927.8267223382045
3775 Rue University,45.508444,-73.580533,1919.2559726962456
3724 Rue Mctavish,45.505099,-73.58092,1918.3728813559321
3740 Rue Mctavish,45.505248,-73.581223,1918.063063063063
3465 Rue Durocher,45.507803,-73.573758,1926.3921901528013
815 Rue Sherbrooke O,45.503907,-73.574626,1928.1776447105788
815 Rue Sherbrooke O,45.503907,-73.574626,1928.1776447105788
815 Rue Sherbrooke O,45.503907,-73.574626,1928.1776447105788
815 Rue Sherbrooke O,45.503907,-73.574626,1928.1776447105788
3700 Rue Mctavish,45.504876,-73.580465,1918.1889763779527
3450 Rue Mctavish,45.503147,-73.576895,1925.5356200527704
840 Av. Du Docteur-Penfield,45.50484,-73.578465,1922.7958115183246
3925 University Street,45.510025,-73.582877,1919.051094890511
3630 Promenade Sir-William-Osler,45.502177,-73.581862,1926.955182072829
3541 Rue De La Montagne,45.501106,-73.581659,1928.8875968992247
3724 Rue Mctavish,45.505099,-73.58092,1918.3728813559321
3464 Hutchison,45.508299,-73.573193,1926.9648
845 Rue Sherbrooke O,45.503775,-73.574749,1927.8531187122737
1110 Av Des Pins O,45.504456,-73.582027,1922.3496503496503
855 Rue Sherbrooke O,45.503397,-73.575133,1927.9264705882354
1033 Avenue Des Pins Ouest,45.504757,-73.581925,1920.9863945578231
801 Rue Sherbrooke O,45.503968,-73.574569,1928.0379241516966
817 Rue Sherbrooke O,45.503898,-73.574634,1928.1215139442231
815 Rue Sherbrooke O,45.503907,-73.574626,1928.1776447105788
3459 Rue Mctavish,45.50275,-73.575749,1928.267391304348
1430 Rue Peel,45.50042,-73.573888,1928.837837837838
3905 Rue University,45.509728,-73.582698,1917.5822784810127
3883 Rue University,45.509441,-73.582537,1916.7912087912089
3655 Promenade Sir-William-Osler,45.502558,-73.582369,1925.8361774744028
3459 Rue Mctavish,45.50275,-73.575749,1928.267391304348
3430 Mc Tavish,45.502874,-73.576309,1928.853427895981
3434 Mc Tavish,45.502929,-73.576426,1928.6602870813397
3438 R McTavish,45.502983,-73.576543,1926.7279792746115
3610 Mc Tavish,45.50404,-73.57876,1921.1023890784984
3708 Rue Peel,45.504126,-73.581335,1921.9135135135134
3915 Rue University,45.509877,-73.5828,1918.3265306122448
3801 Rue University,45.50868,-73.581021,1917.7472527472528
3485 Rue Mctavish,45.503484,-73.577322,1924.7721518987341
3605 De La Montagne,45.501515,-73.582531,1928.1376811594203
3625 Av Du Parc,45.510752,-73.5763,1922.5141342756183
21111 Lakeshore Rd,45.408472,-73.938422,
3575 Avenue Du Parc,45.510444,-73.575699,1923.3452991452991
3647 Rue Peel,45.503524,-73.579814,1922.6440677966102
3661 Rue Peel,45.503672,-73.580116,1922.0818965517242
3674 Rue Peel,45.503684,-73.580428,1922.879069767442
3690 Rue Peel,45.503876,-73.580821,1922.4757281553398
3704 Rue Peel,45.504085,-73.581249,1921.9786096256685
1085 Avenue Docteur Penfield,45.503719,-73.579115,1922.1497975708503
3460 Rue Mctavish,45.503284,-73.577189,1924.9948051948052
1140 Pine Avenue,45.504084,-73.582384,1926.2272727272727
501 Avenue Des Pins,45.509248,-73.579787,1919.9625
505 Avenue Des Pins,45.509137,-73.579843,1919.9314641744547
506 Avenue Des Pins,45.509071,-73.5796,1920.0825688073394
509 Avenue Des Pins,45.509026,-73.579898,1920.025
510 Avenue Des Pins,45.508965,-73.579653,1920.144171779141
515 Avenue Des Pins,45.508834,-73.579952,1920.083850931677
517 Avenue Des Pins,45.508743,-73.579968,1920.266253869969
522 Avenue Des Pins,45.508639,-73.579844,1920.2345679012346
523 Avenue Des Pins,45.508657,-73.580007,1920.498432601881
527 Avenue Des Pins,45.508599,-73.580033,1920.498432601881
546 Avenue Des Pins,45.508219,-73.580034,1920.5094339622642
3637 Rue Peel.,45.503419,-73.579599,1923.5458333333333
3420 Rue University,45.504957,-73.573597,1928.357815442561
1020 Av Des Pins O,45.504969,-73.581508,1919.8225806451612
3630 Rue de la Montagne,45.501284,-73.582666,1927.72131147541
3461 Rue Mctavish,45.502807,-73.57587,1928.1969696969697
3459 Rue Mctavish,45.50275,-73.575749,1928.267391304348
859 Rue Sherbrooke O,45.503207,-73.575329,1928.2068965517242
3425 Rue University,45.4066,-73.935496,
3600 Rue University,45.507343,-73.57838,1922.825882352941
688 Sherbrooke,45.504682,-73.573678,1928.5684410646388
3450 Rue Mctavish,45.503147,-73.576895,1925.5356200527704
1205 Av. Du Docteur-Penfield,45.502539,-73.58066,1927.296089385475
1205 Av. Du Docteur-Penfield,45.502539,-73.58066,1927.296089385475
3640 Rue University,45.508102,-73.580115,1919.9299363057326
555 Rue Sherbrooke O,45.505625,-73.573,1928.5594405594406
3650 Rue Mctavish,45.504412,-73.579518,1918.8819188191883
3650A Rue Mctavish,45.504412,-73.579518,1918.8819188191883
3481 Rue Université,45.506113,-73.575736,1925.5452865064694
3534 Rue Université,45.50682,-73.577458,1923.4516853932585
3559 Rue Université,45.507153,-73.577844,1923.4512471655328
3575 Rue Université,45.507314,-73.578175,1922.8391608391607
3641 Rue University,45.507978,-73.579563,1920.017910447761
3661 Rue Université,45.508197,-73.580023,1920.5094339622642
845 Rue Sherbrooke O,45.503775,-73.574749,1927.8531187122737
3473 Rue University,45.505923,-73.575342,1925.4092592592592
3506 Rue University,45.506488,-73.576796,1924.4750499001996
11241 Av Drapeau,45.597803,-73.634295,1925.0
5800 Avenue St Donat,45.604721,-73.542726,1974.0
5485 Rue Jean-Talon E,45.581259,-73.580885,1960.6
8205 Rue Fonteneau,45.602338,-73.538619,1988.5
11865 Rue de Montigny,45.640308,-73.506709,1954.0
12550 Av. Fernand-Gauthier,45.635492,-73.604285,1910.0
