X,Y,Z,Name,Organisme,Adresse,Ville,Province,Code_postal,Localisation_de_l_amiante,Source,L__gislation,Cat__gorie,Latitude,Longitude,Code postal,amiante,gislation,gorie
-73.786373,45.61422,0,Villemaire,de Laval,211 Boul. Sainte-Rose,Sainte-Rose,Québec,H7L 1L7,Murs plafonds Planchers,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.614220","-73.786373",H7L 1L7,Murs plafonds Planchers,LSST RSST et CSTC,Établissement scolaire
-70.429114,46.319974,0,École Du Petit-Chercheur,de la Beauce-Etchemin,4 Rue Roy,Sainte-Rose-de-Watford,Québec,G0R 4G0,Murs intérieurs murs périphériques plafond revêtements de planchers,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"46.319974","-70.429114",G0R 4G0,Murs intérieurs murs périphériques plafond revêtements de planchers,LSST RSST et CSTC,Établissement scolaire
-70.587219,48.387578,0,Sainte-Rose,des Rives-du-Saguenay,186 Rue Du Quai,Sainte-Rose-du-Nord,Québec,G0V 1T0,Plafond,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"48.387578","-70.587219",G0V 1T0,Plafond,LSST RSST et CSTC,Établissement scolaire
-73.898534,45.816504,0,École Jean-Moreau,Commission scolaire de la Rivière-du-Nord,2334 Rue Saint-Joseph,Sainte-Sophie,Québec,J5J 1M9,pâte cimentaire,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.816504","-73.898534",J5J 1M9,pâte cimentaire,LSST RSST et CSTC,Établissement scolaire
-71.714504,46.147511,0,École Marie-Immaculée,des Bois-Francs,441 Rue De L'École,Sainte-Sophie d'Halifax,Québec,G0P 1L0,Murs plafond plancher tuyauterie,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"46.147511","-71.714504",G0P 1L0,Murs plafond plancher tuyauterie,LSST RSST et CSTC,Établissement scolaire
-73.661483,45.9008,0,Centre De Formation En Santé De Saint-Esprit,des Samares,40 Rue Des Écoles,Saint-Esprit,Québec,J0K 2L0,Plafond de la chaufferie,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.900800","-73.661483",J0K 2L0,Plafond de la chaufferie,LSST RSST et CSTC,Établissement scolaire
-72.504763,46.816435,0,Masson,de l'Énergie,440 Rue Saint-Jacques,Sainte-Thècle,Québec,G0X 3G0,Murs plafond et plancher.,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"46.816435","-72.504763",G0X 3G0,Murs plafond et plancher.,LSST RSST et CSTC,Établissement scolaire
-73.830641,45.649375,0,Cfp De L'Automobile,de la Seigneurie-des-Mille-Îles,301 Boul. Du Domaine,Sainte-Thérèse,Québec,J7E 4S4,Calorifugeage non apparent (à l'intérieur des murs et plafonds),Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.649375","-73.830641",J7E 4S4,Calorifugeage non apparent (à l'intérieur des murs et plafonds),LSST RSST et CSTC,Établissement scolaire
-73.840736,45.639469,0,Saint-Gabriel (Pav. Notre-Dame),de la Seigneurie-des-Mille-Îles,8 Rue Blainville Est,Sainte-Thérèse,Québec,J7E 1L6,Mur  plafond et tuile de plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.639469","-73.840736",J7E 1L6,Mur  plafond et tuile de plancher,LSST RSST et CSTC,Établissement scolaire
-73.837126,45.641205,0,Saint-Gabriel (Pav. Saint-Gabriel),de la Seigneurie-des-Mille-Îles,8 Rue Tassé,Sainte-Thérèse,Québec,J7E 1V3,Mur et plafond,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.641205","-73.837126",J7E 1V3,Mur et plafond,LSST RSST et CSTC,Établissement scolaire
-73.825497,45.642515,0,École Saint-Pierre,des Samares,201 Rue Saint-Pierre,Sainte-Thérèse,Québec,J7E 2S3,Murs plafonds vide sanitaire et entretoit,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.642515","-73.825497",J7E 2S3,Murs plafonds vide sanitaire et entretoit,LSST RSST et CSTC,Établissement scolaire
-73.834416,45.64034,0,Arthur-Vaillancourt,de la Seigneurie-des-Mille-Îles,25 Rue Vézina,Sainte-Thérèse,Québec,J7E 3A4,Mur plafond et tuile de plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.640340","-73.834416",J7E 3A4,Mur plafond et tuile de plancher,LSST RSST et CSTC,Établissement scolaire
-73.843965,45.63972,0,Centre Multiservice (Pav. Mgr. Philippe-Labelle),de la Seigneurie-des-Mille-Îles,46 Rue Blainville Ouest,Sainte-Thérèse,Québec,J7E 1X3,Mur plafond et tuile de plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.639720","-73.843965",J7E 1X3,Mur plafond et tuile de plancher,LSST RSST et CSTC,Établissement scolaire
-73.851631,45.641826,0,Du Trait-D'Union (Pav. Adolphe-Chapleau),de la Seigneurie-des-Mille-Îles,70 Rue Saint-Stanislas,Sainte-Thérèse,Québec,J7E 3M7,Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.641826","-73.851631",J7E 3M7,Plancher,LSST RSST et CSTC,Établissement scolaire
-73.834742,45.632359,0,Le Tandem (Pav. Augustin-Charlebois),de la Seigneurie-des-Mille-Îles,50 Rue Leroux,Sainte-Thérèse,Québec,J7E 3M6,Mur et plafond,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.632359","-73.834742",J7E 3M6,Mur et plafond,LSST RSST et CSTC,Établissement scolaire
-73.837631,45.632744,0,Le Tandem (Pav. Lionel-Bertrand),de la Seigneurie-des-Mille-Îles,10 Rue Bélisle,Sainte-Thérèse,Québec,J7E 3P6,Mur plafond et tuile de plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.632744","-73.837631",J7E 3P6,Mur plafond et tuile de plancher,LSST RSST et CSTC,Établissement scolaire
-73.825497,45.642515,0,Saint-Pierre,de la Seigneurie-des-Mille-Îles,201 Rue Saint-Pierre,Sainte-Thérèse,Québec,J7E 2S3,Mur plafond et tuile de plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.642515","-73.825497",J7E 2S3,Mur plafond et tuile de plancher,LSST RSST et CSTC,Établissement scolaire
-73.863443,45.653249,0,Terre-Soleil,de la Seigneurie-des-Mille-Îles,800 Rue De Sève,Sainte-Thérèse,Québec,J7E 2M6,Composé a joint à l'étage  Tuile de plancher RDC,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.653249","-73.863443",J7E 2M6,Composé a joint à l'étage  Tuile de plancher RDC,LSST RSST et CSTC,Établissement scolaire
-73.917624,45.248874,0,Saint-Étienne,de la Vallée-des-Tisserands,426 Rue De L'Église,Saint-Étienne-de-Beauharnois,Québec,J0S 1S0,PLANCHERS,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.248874","-73.917624",J0S 1S0,PLANCHERS,LSST RSST et CSTC,Établissement scolaire
-72.769257,46.441857,0,École Ami-Joie,du Chemin-du-Roy,165 Rue Saint-Joseph,Saint-Étienne-des-Grès,Québec,G0X 2P0,Planchers Murs Plafond Calorifuge Extérieur,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"46.441857","-72.769257",G0X 2P0,Planchers Murs Plafond Calorifuge Extérieur,LSST RSST et CSTC,Établissement scolaire
-72.769257,46.441857,0,École Des Grès,du Chemin-du-Roy,165 Rue Saint-Joseph,Saint-Étienne-des-Grès,Québec,G0X 2P0,Planchers Murs Plafond Calorifuge Extérieur,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"46.441857","-72.769257",G0X 2P0,Planchers Murs Plafond Calorifuge Extérieur,LSST RSST et CSTC,Établissement scolaire
-68.795925,48.252448,0,Lavoie,des Phares,27 Rue Principale,Saint-Eugène-de-Ladrière,Québec,G0L 1P0,Plancher (tuiles de vinyle)  et crépi fondation à l'extérieur du bâtiment.,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"48.252448","-68.795925",G0L 1P0,Plancher (tuiles de vinyle)  et crépi fondation à l'extérieur du bâtiment.,LSST RSST et CSTC,Établissement scolaire
-68.917049,47.54142,0,Saint-Eusèbe,Commission scolaire du Fleuve-et-des-Lacs,228 Rue Principale,Saint-Eusèbe,Québec,G0L 2Y0,100%,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"47.541420","-68.917049",G0L 2Y0,100%,LSST RSST et CSTC,Établissement scolaire
-73.888573,45.558283,0,Notre-Dame,de la Seigneurie-des-Mille-Îles,151 Rue Saint-Louis,Saint-Eustache,Québec,J7R 1X9,Mur et plafond,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.558283","-73.888573",J7R 1X9,Mur et plafond,LSST RSST et CSTC,Établissement scolaire
-73.895034,45.558793,0,Pavillon Jacques Labrie,de la Seigneurie-des-Mille-Îles,88 Rue Saint-Nicolas,Saint-Eustache,Québec,J7R 2B6,Mur,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.558793","-73.895034",J7R 2B6,Mur,LSST RSST et CSTC,Établissement scolaire
-73.923229,45.578693,0,Arc-En-Ciel,de la Seigneurie-des-Mille-Îles,130 Boul. Louis-Joseph-Rodrigue,Saint-Eustache,Québec,J7R 5Y5,Tuile de plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.578693","-73.923229",J7R 5Y5,Tuile de plancher,LSST RSST et CSTC,Établissement scolaire
-73.933156,45.58465,0,Au Cœur-Du-Boisé,de la Seigneurie-des-Mille-Îles,990 Rue Des Érables,Saint-Eustache,Québec,J7R 6M5,N/A,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.584650","-73.933156",J7R 6M5,N/A,LSST RSST et CSTC,Établissement scolaire
-73.882821,45.571007,0,Clair Matin,de la Seigneurie-des-Mille-Îles,250 Rue Therrien,Saint-Eustache,Québec,J7P 4V4,Tuile de plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.571007","-73.882821",J7P 4V4,Tuile de plancher,LSST RSST et CSTC,Établissement scolaire
-73.975684,45.563182,0,Cœur À Cœur L'Alternative,de la Seigneurie-des-Mille-Îles,799 Montée Lauzon,Saint-Eustache,Québec,J7R 0J1,Mur plafond et tuile de plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.563182","-73.975684",J7R 0J1,Mur plafond et tuile de plancher,LSST RSST et CSTC,Établissement scolaire
-73.90918,45.573871,0,Secondaire Des Patriotes,de la Seigneurie-des-Mille-Îles,99 Rue Grignon,Saint-Eustache,Québec,J7P 4S4,Mur extérieur tuile de plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.573871","-73.909180",J7P 4S4,Mur extérieur tuile de plancher,LSST RSST et CSTC,Établissement scolaire
-73.871749,45.572282,0,Terre Des Jeunes,de la Seigneurie-des-Mille-Îles,128 25E Avenue,Saint-Eustache,Québec,J7P 2V2,Mur plafond et tuile de plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.572282","-73.871749",J7P 2V2,Mur plafond et tuile de plancher,LSST RSST et CSTC,Établissement scolaire
-73.910198,45.566026,0,Village-Des-Jeunes,de la Seigneurie-des-Mille-Îles,16 Rue Perry,Saint-Eustache,Québec,J7R 2H3,Tuile de plancher gymnase,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,"45.566026","-73.910198",J7R 2H3,Tuile de plancher gymnase,LSST RSST et CSTC,Établissement scolaire
