lat,lon,Z,Name,Organisme,Adresse,Ville,Province,Code_postal,Localisation_de_l_amiante,Source,L__gislation,Cat__gorie,Latitude,Longitude,Code postal,amiante,gislation,gorie
-73.674766,45.537204,0,Édifice Ignace-Bourget,Cégep de Bois-de-Boulogne,10500 Ave de Bois-de-Boulogne,Montréal,Québec,H4N 1L3,Réservoir murs plafonds planchers et isolants conduits tuyauterie,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.537204,-73.674766,H4N 1L3,Réservoir murs plafonds planchers et isolants conduits tuyauterie,LSST RSST et CSTC,Établissement scolaire
-73.676566,45.537352,0,Pavillon Saint-Paul,Cégep de Bois-de-Boulogne,10555 Ave de Bois-de-Boulogne,Montréal,Québec,H4N 1L3,Calorifuge chaudière murs plafonds planchers et isolants conduits tuyauterie,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.537352,-73.676566,H4N 1L3,Calorifuge chaudière murs plafonds planchers et isolants conduits tuyauterie,LSST RSST et CSTC,Établissement scolaire
-73.555049,45.549854,0,Collège De Maisonneuve,Cégep de Maisonneuve,3800 R. Sherbrooke E,Montréal,Québec,H1X 2A2,Murs plafonds planchers et isolants conduits ventilation et tuyauterie,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.549854,-73.555049,H1X 2A2,Murs plafonds planchers et isolants conduits ventilation et tuyauterie,LSST RSST et CSTC,Établissement scolaire
-73.545097,45.579336,0,Institut Des Procédés Industriels,Cégep de Maisonneuve,6220 Rue Sherbrooke Est,Montréal,Québec,HIN 1C1,Murs plafonds planchers et isolants conduits ventilation,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.579336,-73.545097,HIN 1C1,Murs plafonds planchers et isolants conduits ventilation,LSST RSST et CSTC,Établissement scolaire
-73.58333,45.558318,0,Édifice Principal,Cégep de Rosemont,6400 16E Avenue,Montréal,Québec,H1X 2S9,Murs plafonds planchers et isolants conduits,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.558318,-73.58333,H1X 2S9,Murs plafonds planchers et isolants conduits,LSST RSST et CSTC,Établissement scolaire
-73.56603,45.513999,0,Bloc A B C,Cégep du Vieux Montréal,255 Rue Ontario E,Montréal,Québec,H2X 1X6,Murs (crépi composé à joints) plancher (tuile vinyle) plafond (composé à joints) conduite irrégulière (pâte cimentaire) et éléments mécaniques - chaudière (pâte cimentaire). La plupart des systèmes légèrement ou moyennement endommagés.,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.513999,-73.56603,H2X 1X6,Murs (crépi composé à joints) plancher (tuile vinyle) plafond (composé à joints) conduite irrégulière (pâte cimentaire) et éléments mécaniques - chaudière (pâte cimentaire). La plupart des systèmes légèrement ou moyennement endommagés.,LSST RSST et CSTC,Établissement scolaire
-73.607944,45.616674,0,École de mode du Cégep Marie-Victorin,Cégep Marie-Victorin,7025 Rue Marie-Victorin,Montréal,Québec,H1G 2J7,Murs plafonds planchers et isolants conduits tuyauterie,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.616674,-73.607944,H1G 2J7,Murs plafonds planchers et isolants conduits tuyauterie,LSST RSST et CSTC,Établissement scolaire
-73.558699,45.54879,0,Bloc G,Cégep Vanier,3519 Rue Rachel E,Montréal,Québec,H1W 3Y1,"Conduite irrégulière (pâte cimentaire) mur (composé à joints) et élément mécanique(pâte
cimentaire). Certains murs et conduites très endommagés.",Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.548790,-73.558699,H1W 3Y1,Conduite irrégulière (pâte cimentaire) mur (composé à joints) et élément mécanique(pâte,LSST RSST et CSTC,Établissement scolaire
-73.57434,45.497478,0,1230 Rue de la Montagne,CSSDM,1230 Rue De La Montagne,Montréal,Québec,H3G 1Z1,Mur plafond plancher calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.497478,-73.57434,H3G 1Z1,Mur plafond plancher calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.613978,45.475498,0,Farhan School,CSSDM,3744 Avenue Prud'Homme,Montréal,Québec,H4A 3H4,,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.475498,-73.613978,H4A 3H4,,LSST RSST et CSTC,Établissement scolaire
-73.544893,45.595771,0,Académie Dunton,CSSDM,5555 Rue De Bouvcherville,Montréal,Québec,H1K 4B6,Mur plafond plancher flocage calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.595771,-73.544893,H1K 4B6,Mur plafond plancher flocage calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.562015,45.518062,0,CPE La Sourithèque,CSSDM,1750 Rue Saint-André,Montréal,Québec,H2L 3T8,Mur plafond plancher calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.518062,-73.562015,H2L 3T8,Mur plafond plancher calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.623253,45.549168,0,Academie-Roberval,CSSDM,1275 Rue Jarry Est,Montréal,Québec,HH2P 1W9,Mur plafond plancher calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.549168,-73.623253,HH2P 1W9,Mur plafond plancher calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.657557,45.554719,0,Ahuntsic,CSSDM,10085 Avenue Durham,Montréal,Québec,H2C 2G3,Mur plafond plancher calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.554719,-73.657557,H2C 2G3,Mur plafond plancher calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.695165,45.528739,0,Alice-Parizeau,CSSDM,11715 Rue Filion,Montréal,Québec,H4J 1T2,Mur extérieur mur plancher calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.528739,-73.695165,H4J 1T2,Mur extérieur mur plancher calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.571256,45.578043,0,Alphonse-Desjardins,CSSDM,6600 Rue Lemay,Montréal,Québec,H1T 2L7,Mur plancher entretoit calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.578043,-73.571256,H1T 2L7,Mur plancher entretoit calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.575036,45.57352,0,Alphonse-Desjardins,CSSDM,6650 39E Avenue,Montréal,Québec,H1T 2W8,Mur plafond plancher calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.573520,-73.575036,H1T 2W8,Mur plafond plancher calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.581985,45.521386,0,Arc-En-Ciel,CSSDM,4265 Avenue Laval,Montréal,Québec,H2W 2J6,Mur extérieur plancher calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.521386,-73.581985,H2W 2J6,Mur extérieur plancher calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.517043,45.609159,0,Armand-Lavergne,CSSDM,2600 Avenue Fletcher,Montréal,Québec,H1L 4C5,Plafond plancher calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.609159,-73.517043,H1L 4C5,Plafond plancher calorifuge,LSST RSST et CSTC,Établissement scolaire
